perl-file-which 1.24-1
perl-html-parser 3.76-1
perl-html-tagset 3.20-10
perl-http-cookies 6.10-1
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.29-1
perl-http-negotiate 6.01-8
perl-image-exiftool 12.25-1
perl-io-html 1.004-1
perl-ipc-system-simple 1.30-2
perl-libwww 6.53-1
perl-lwp-mediatypes 6.02-8
perl-mailtools 2.21-4
perl-net-http 6.21-1
perl-path-tiny 0.118-1
perl-timedate 2.33-2
perl-try-tiny 0.30-5
perl-uri 5.09-1
perl-www-robotrules 6.02-8
perl-xml-libxml 2.0207-1
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-2
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-writer 0.625-6
php 8.0.5-1
picom 8.2-1
pinentry 1.1.1-1
pixman 0.40.0-1
pkcs11-helper 1.27.0-1
pkgconf 1.7.3-1
pkgfile 21-2
polkit 0.118-1
polkit-gnome 0.105-8
polkit-qt5 0.113.0-2
poppler 21.04.0-2
poppler-data 0.4.10-1
poppler-glib 21.04.0-2
popt 1.18-1
portaudio 1:19.7.0-1
powertop 2.13-1
ppp 2.4.8-1
pptpclient 1.10.0-2
procps-ng 3.3.17-1
psmisc 23.4-1
python 3.9.4-1
python-appdirs 1.4.4-3
python-attrs 20.3.0-3
python-automat 20.2.0-6
python-beaker 1.11.0-6
python-cachecontrol 0.12.6-3
python-cairo 1.20.0-3
python-cffi 1.14.5-1
python-chardet 4.0.0-1
python-click 7.1.2-4
python-colorama 0.4.4-3
python-constantly 15.1.0-9
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.7-1
python-dateutil 2.8.1-6
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-dnspython 1:1.16.0-3
python-docopt 0.6.2-9
python-geoip 1.3.2-10
python-gobject 3.40.1-1
python-html5lib 1.1-6
python-hyperlink 21.0.0-2
python-idna 3.1-1
python-incremental 21.3.0-2
python-mako 1.1.4-1
python-markdown 3.3.4-1
python-markupsafe 1.1.1-7
python-msgpack 1.0.2-2
python-npyscreen 4.10.5-5
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pep517 0.10.0-1
python-pillow 8.2.0-2
python-pip 20.3.1-1
python-ply 3.11-7
python-progress 1.5-5
python-psutil 5.8.0-1
python-pyaml 20.4.0-4
python-pyasn1 0.4.8-4
python-pyasn1-modules 0.2.8-4
python-pycparser 2.20-3
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyqt5 5.15.4-1
python-pyqt5-sip 12.8.1-3
python-pysmbc 1.0.23-2
python-pyxdg 0.27-1
python-rencode 1.0.6-5
python-reportlab 3.5.66-1
python-requests 2.25.1-1
python-resolvelib 0.5.4-1
python-retrying 1.3.3-9
python-service-identity 18.1.0-7
python-setproctitle 1.2.2-1
python-setuptools 1:56.0.0-1
python-six 1.15.0-3
python-toml 0.10.2-3
python-twisted 21.2.0-3
python-ueberzug 18.1.5-3
python-urllib3 1.26.4-1
python-webencodings 0.5.1-6
python-xapp 2.0.2-2
python-xlib 0.29-1
python-yaml 5.4.1.1-2
python-zope-interface 5.4.0-1
qpdf 10.3.1-1
qt5-base 5.15.2+kde+r192-1
qt5-styleplugins 5.0.0.20170311-25
qt5-svg 5.15.2+kde+r7-1
qt5-x11extras 5.15.2-1
qt5ct 1.2-1
ranger 1.9.3.143.g5047d9e5-1
raptor 2.0.15-16
rav1e 0.4.1-1
readline 8.1.0-2
reiserfsprogs 3.6.27-3
rest 0.8.1-3
rpcbind 1.2.5-3
rsync 3.2.3-3
rtmpdump 1:2.4.r96.fa8646d-6
run-parts 4.11.2-1
rxvt-unicode 9.22-10
rxvt-unicode-terminfo 9.22-10
s-nail 14.9.22-1
sane 1.0.32-3
sbc 1.5-2
sbxkb 0.7.6-5
screenfetch 3.9.1-1
scrot 1.5-1
sdl2 2.0.14-1
sed 4.8-1
serd 0.30.10-1
serf 1.3.9-5
sg3_utils 1.46-1
shaderc 2020.5-1
shadow 4.8.1-4
